x_rel,y_rel,z_rel,r_rel,b_rel,e_rel,x_meas,y_meas,z_meas,r_meas,b_meas,e_meas,x_err,y_err,z_err,r_err,b_meas,e_meas
-110.31820606113058,-148.65445559217932,18.95916362823588,186.08520532658017,-126.57954112881082,5.847688051501796,3.09128665234698,-5.314202201829545,-0.19147157712240803,3.09128665234698,-5.314202201829545,-0.19147157712240803,-113.40949271347756,-143.34025339034977,19.150635205358288,179.93431436886075,-66.7662276919549,7.631541136863003
-117.56257925836155,-143.52160012071715,21.092049390753058,186.71980154925066,-129.32186976579294,6.486030693772637,2.2173787633564643,-5.762416082922613,-0.2540578857761566,2.2173787633564643,-5.762416082922613,-0.2540578857761566,-119.77995802171802,-137.75918403779454,21.346107276529214,180.54025843489063,-60.368603934079246,8.842280686262933
-88.2677797952233,-141.44104809888415,18.943080345857403,167.7963388464674,-121.9666605980013,6.482127972024075,1.9758080955232344,-6.62944735638203,-1.012207702450114,1.9758080955232344,-6.62944735638203,-1.012207702450114,-90.24358789074654,-134.81160074250212,19.955288048307516,160.80506183047987,-48.562564928293725,14.806755587860373
-97.20500160151823,-136.3663285920834,17.43405990010232,168.370230013015,-125.48213033006184,5.943400516681905,4.538787041672549,-4.923541709538,-0.540064304068697,4.538787041672549,-4.923541709538,-0.540064304068697,-101.74378864319078,-131.4427868825454,17.974124204171016,161.65208144158967,-78.15366745654532,10.554318272257678
-155.62696581649698,-106.72606682725507,16.220917679132498,189.4025448615145,-145.55839816310433,4.912975243368017,3.9266366346080304,-5.9751399761389905,-2.2693519615997775,3.9266366346080304,-5.9751399761389905,-2.2693519615997775,-159.553602451105,-100.75092685111608,18.490269640732276,181.90116290081443,-88.86980636219789,22.522270040393217
-117.96115997543154,-121.76486045455613,13.319100390660461,170.0556230751673,-134.09097186297504,4.492122058128205,4.356024641570912,-5.397193115673531,-0.32656824448019406,4.356024641570912,-5.397193115673531,-0.32656824448019406,-122.31718461700245,-116.3676673388826,13.645668635140655,163.1121879725578,-82.99765033600181,7.187889652852382
-121.67376076285507,-119.4045833443962,13.962225340636863,171.0464916865823,-135.53928713543777,4.682163591340524,4.573018884999328,-4.984214672537149,0.9902291446276699,4.573018884999328,-4.984214672537149,0.9902291446276699,-126.2467796478544,-114.42036867185905,12.971996196009194,164.21015850399345,-88.07568070692757,-3.6463133413282094
-105.78296713711643,-135.02666938068012,18.458578473977994,172.51943861389,-128.07595737932527,6.14207287452799,5.037496729155691,-4.780881660877299,0.4844195362350774,5.037496729155691,-4.780881660877299,0.4844195362350774,-110.82046386627212,-130.24578771980282,17.974158937742917,165.557552013359,-84.57311029923629,2.1521141048971306
-106.49130699769023,-136.98256119155246,19.892635093697184,174.64345813011352,-127.86177201247378,6.540428895178172,5.251290317761686,-3.7476096251730553,0.7503106885520683,5.251290317761686,-3.7476096251730553,0.7503106885520683,-111.74259731545192,-133.2349515663794,19.142324405145114,168.14856829013448,-92.3480298482385,-0.0933764867458331
-131.9721733090064,-115.53462485790112,20.7095230429133,176.61763335981863,-138.79957709098395,6.7337798181674415,5.9108014595478835,-1.9685928460800142,0.28135773350982873,5.9108014595478835,-1.9685928460800142,0.28135773350982873,-137.88297476855428,-113.56603201182111,20.42816530940347,170.3812807509585,-120.3792362689792,4.147959961296727
-185.88659150539587,-58.61539381578814,18.611833862803728,195.79578558643814,-162.49843655410456,5.4546222341241615,5.965894067567433,-1.3135547140636845,0.7404150565101204,5.965894067567433,-1.3135547140636845,0.7404150565101204,-191.8524855729633,-57.301839101724454,17.871418806293608,189.64228800634743,-150.08132638243376,-1.4561948027257259
-168.66591617992057,-57.157945713918025,16.889979114507064,178.8868173833267,-161.27937407433475,5.417772779332013,6.671861532956882,-0.38247583262503326,0.3967981755368264,6.671861532956882,-0.38247583262503326,0.3967981755368264,-175.33777771287745,-56.77546988129299,16.493180938970237,172.19223204369578,-157.99838688390986,2.019773889811862
-194.96597255292252,-0.6287272744636994,16.71825929157793,195.68246202772752,-179.81523291502094,4.901077187376145,6.506446396565707,0.3209194236172266,0.1403488946597906,6.506446396565707,0.3209194236172266,0.1403488946597906,-201.47241894948823,-0.9496466980809259,16.57791039691814,189.16659433416055,-182.63896161719248,3.6668561080220425
